" Población Total por Edades y Sexo"

"SEXO",,"VARON","MUJER","TOTAL",
,,POBLACION,POBLACION,POBLACION
FECHA,EDAD,Sum,Sum,Sum
,"  93", 911.0162767,1922.0451707,2833.0614474
,"  94", 693.8458894,1461.5175084,2155.3633978
,"  95", 436.5114152,1050.0425241,1486.5539393
,"  96", 331.4592579, 813.8153455,1145.2746034
,"  97", 270.2827444, 608.6650914, 878.9478358
,"  98", 176.1040195, 392.3700294, 568.4740489
,"  99", 253.2790911, 402.3338845, 655.6129756
," 100",  40.0449619, 136.1665197, 176.2114816
," 101",  24.0181958,  78.0544317, 102.0726275
," 102",  27.0296772,  51.0529237,  78.0826009
," 103",   12.027146,  38.0594146,  50.0865606
," 104",   7.0073595,  20.0340064,  27.0413659
," 105",   1.9970238,   6.0164308,   8.0134546
," 106",           3,   4.0060835,   7.0060835
," 107",           1,           3,           4
," 108",           1,   2.0087496,   3.0087496
," 109",           1,           2,           3
," 110",           1,   3.0103369,   4.0103369
," 112",           .,           1,           1
," 115",           1,           1,           2
," 117",           1,           .,           1
," 118",           .,   2.0015479,   2.0015479
," 121",           1,           1,           2
," 122",           1,           .,           1

"2001","   0",7053.3544381,6618.3545907,13671.709029
,"   1",7125.3556531,6794.3198809,13919.675534
,"   2",8043.6745859,7465.7081386,15509.382724
,"   3",8607.6828879,8118.8456937,16726.528582
,"   4",8480.6854791,8199.8485601,16680.534039
,"   5",9192.8780249, 8848.023505, 18040.90153
,"   6",9604.0223445,8817.0039619,18421.026306
,"   7",9950.8493426,9533.3093626,19484.158705
,"   8",10518.015562,9896.2142437,20414.229806
,"   9",10813.030811,9942.3997836,20755.430595
,"  10",10926.077054,10511.332567,21437.409621
,"  11",11380.128892, 10949.39512,22329.524012
,"  12",11824.178159,10915.483551,22739.661711
,"  13",12116.144974,11709.560449,23825.705422
,"  14",12813.265811,12168.669454,24981.935264
,"  15",13688.473459,12739.735973,26428.209432
,"  16", 14148.38421,13400.857406,27549.241616
,"  17", 14482.51238,13707.890961, 28190.40334
,"  18",15344.658819,14560.002197,29904.661017
,"  19",16203.595148,15169.329064,31372.924212
,"  20",17229.917029,16067.313222,33297.230251
,"  21",17634.827129,16898.639814,34533.466943
,"  22",18777.902409,17746.526425,36524.428833
,"  23",18841.175797,17874.572139,36715.747935
,"  24",19470.314538,18647.842906,38118.157444
,"  25",19097.086995,18331.881993,37428.968988
,"  26",  19063.3374,18261.854038,37325.191438
,"  27",18711.560531,17917.974765,36629.535296
,"  28",18914.643321,17840.824594,36755.467915
,"  29",18924.954074,17732.018954,36656.973028
,"  30",18609.843313,17858.934208,36468.777521
,"  31",18891.088151,17993.174405,36884.262556
,"  32",18771.103998,17971.937411,36743.041409
,"  33",18974.113167,18369.308349,37343.421515
,"  34",18895.260249,18371.208082,37266.468331
,"  35",19370.320476,18733.405435,38103.725911
,"  36",19543.384705,19355.582158,38898.966863
,"  37",19622.216525, 18339.96638,37962.182905
,"  38",19116.219759,18483.028599,37599.248358
,"  39",19141.136754,18116.756135,37257.892889
,"  40",19467.004702, 18517.81954,37984.824243
,"  41",19228.979061,18030.601812,37259.580873
,"  42",18727.601177,17554.551038,36282.152216
,"  43",18494.562945,17487.374014,35981.936959
,"  44",18011.187157,16619.037533, 34630.22469
,"  45",17308.208012,15693.968425,33002.176437
,"  46",16429.830904,14897.836419,31327.667323
,"  47",16439.826158,14839.630342,  31279.4565
,"  48",16282.789214,14550.639623,30833.428837
,"  49",15165.483705,13774.558503,28940.042208
,"  50",15389.710936,14302.774343, 29692.48528
,"  51",15243.608905,14664.900156, 29908.50906
,"  52",16377.874734,15042.051867,31419.926602
,"  53",14418.537389, 13655.72449,28074.261879
,"  54",13809.506856,13508.853142,27318.359998
,"  55",14754.801225,14656.073157,29410.874382
,"  56",14190.644773,13867.925682,28058.570455
,"  57",14346.851688,14072.094609,28418.946296
,"  58",12606.564603,12774.770253,25381.334857
,"  59",12064.408933,12135.859163,24200.268096
,"  60",13380.817205,14011.154402,27391.971606
,"  61",9918.0626104,10472.524763,20390.587373
,"  62", 10566.36408,11141.796587,21708.160667
,"  63",12122.831523,12968.279271,25091.110794
,"  64",14883.550378,16464.192028,31347.742406
,"  65",14163.475065,15460.036319,29623.511384
,"  66",14471.418807,15761.925796,30233.344604
,"  67",14610.656858,15991.079621,30601.736479
,"  68",14970.623914,16567.053847, 31537.67776
,"  69",14277.600075, 15907.06326,30184.663335
,"  70",14400.700389,16542.391626,30943.092015
,"  71",13200.405227,15469.000383, 28669.40561
,"  72",13511.367663,15920.165071,29431.532734
,"  73",12407.967546,15048.869595,27456.837141
,"  74",12623.251137,15335.932131,27959.183268
,"  75",11417.976822,14310.735342,25728.712164
,"  76",11040.910533,14165.690943,25206.601476
,"  77", 10699.73118,13930.725596,24630.456776
,"  78",10058.571586, 13466.52255,23525.094136
,"  79",9186.4230456,12009.289342,21195.712388
,"  80",7416.9321633,11104.029898,18520.962061
,"  81",5922.6402015,9216.5351112,15139.175313
,"  82",5218.2945179,9037.4843674,14255.778885
,"  83",4757.2608335,8182.1125353,12939.373369
,"  84",4450.2861458,7740.1751164,12190.461262
,"  85",4074.1666189,7479.1543674,11553.320986
,"  86",3507.9790008,6837.9625679,10345.941569
,"  87",3167.9358581,6391.0038814,9558.9397395
,"  88",2740.8456518,5618.7049252, 8359.550577
,"  89",2389.6906506,4762.5160789,7152.2067295
,"  90",1977.5932911,4070.3553347,6047.9486258
,"  91",1619.5852874,3439.0112537,5058.5965411
,"  92", 1281.472322,2632.7563652,3914.2286872
,"  93", 949.3185909, 1992.714121,2942.0327119
,"  94", 734.2505467,1619.5686614,2353.8192081
,"  95", 557.2302744,1211.3698457,1768.6001201
